name,address,phone,rating,reviewCount,category,mapsUrl,status,scrapedAt,outreach
Mother's Restaurant,"401 Poydras St, New Orleans, LA 70130, USA",(504) 523-9656,4.2,16969,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJfV2h73KmIIYRRDpBV-crpB8,OPERATIONAL,2026-03-24T00:58:00.089Z,"Hi there,

I noticed that Mother's Restaurant doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.2⭐ rating with 16969 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Floating Island,"9511 Chef Menteur Hwy #103, New Orleans, LA 70127, USA",(504) 214-4199,4.4,33,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ4Ttlc4CoIIYRhwBLwW7jmpM,CLOSED_TEMPORARILY,2026-03-24T00:58:19.671Z,"Hi there,

I noticed that Floating Island doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 33 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Smiley's Grill New Orleans,"3716 Downman Rd, New Orleans, LA 70126, USA",,4.2,718,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJZV5PMEaoIIYR1k4qLr3VdWg,OPERATIONAL,2026-03-24T00:58:21.929Z,"Hi there,

I noticed that Smiley's Grill New Orleans doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.2⭐ rating with 718 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Beignets & More,"8700 W Judge Perez Dr Suite C, Chalmette, LA 70043, USA",(504) 459-9233,4.7,270,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJl5grJBYdnogR-BpMhZdMv-M,OPERATIONAL,2026-03-24T00:58:21.929Z,"Hi there,

I noticed that Beignets & More doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.7⭐ rating with 270 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Lucky Jean Seafood,"6746 Chef Menteur Hwy, New Orleans, LA 70126, USA",(504) 245-7842,4.2,796,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ_VlHMjCoIIYRqvBMZjIrECQ,OPERATIONAL,2026-03-24T00:58:24.175Z,"Hi there,

I noticed that Lucky Jean Seafood doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.2⭐ rating with 796 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Lacy's Cue Sports Bar,"701 W Judge Perez Dr, Chalmette, LA 70043, USA",(504) 682-6199,4.4,221,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJNakz5hsdnogRDvVbM4XcuS8,OPERATIONAL,2026-03-24T00:58:24.175Z,"Hi there,

I noticed that Lacy's Cue Sports Bar doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 221 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Banh Mi Sao Mai,"4669 Alcee Fortier Blvd, New Orleans, LA 70129, USA",(504) 254-3977,4.1,14,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJHflB624EnogRzTG8ps2phds,OPERATIONAL,2026-03-24T00:58:24.175Z,"Hi there,

I noticed that Banh Mi Sao Mai doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.1⭐ rating with 14 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Nha Trang,"4661 Alcee Fortier Blvd, New Orleans, LA 70129, USA",(504) 662-0014,4,11,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJRdl0qG4EnogRx5ohOU_JB6w,OPERATIONAL,2026-03-24T00:58:24.175Z,"Hi there,

I noticed that Nha Trang doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4⭐ rating with 11 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
La consentida restaurante,"10910 Chef Menteur Hwy, New Orleans, LA 70127, USA",,5,4,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ848NJwADnogRxK4mVINw-LE,OPERATIONAL,2026-03-24T00:58:24.175Z,"Hi there,

I noticed that La consentida restaurante doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 5⭐ rating with 4 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
The Galley Seafood,"2535 Metairie Rd, Metairie, LA 70001, USA",(504) 832-0955,4.3,661,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJk0sNagKwIIYRKEKB2D-0jR8,OPERATIONAL,2026-03-24T00:58:31.678Z,"Hi there,

I noticed that The Galley Seafood doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 661 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for New Orleans businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
